ccode,cnumber,prereqs,
ANSC,414, ANSC 305 w/Min Grade C and ANSC 307 w/Min Grade C and ANSC 318 w/Min Grade C and ( ANSC 333 w/Min Grade C or ANSC 433 w/Min Grade C ),
ANSC,420, ANSC 305 w/Min Grade C and ANSC 307 w/Min Grade C and ANSC 318 w/Min Grade C and ANSC 333 w/Min Grade C,
ANSC,423,null,
ANSC,434, ANSC 305 w/Min Grade C and ANSC 307 w/Min Grade C and ANSC 318 w/Min Grade C and ( ANSC 333 w/Min Grade C or ANSC 433 w/Min Grade C ),
ANSC,437,null,
ANSC,437,null,
ANSC,439,null,
ANSC,467, ANSC 307 w/Min Grade D or NFSC 307 w/Min Grade D,
ANSC,484,null,
ANSC,487, CHEM 222 w/Min Grade D or CHEM 228 w/Min Grade D,
ANSC,489,null,
ANSC,494,null,
ANSC,494,null,
ANSC,498, ANSC 303 w/Min Grade C and ANSC 307 w/Min Grade C and ANSC 333 w/Min Grade C and ANSC 334 w/Min Grade C,
ANSC,498, ANSC 303 w/Min Grade C and ANSC 307 w/Min Grade C and ANSC 333 w/Min Grade C and ANSC 334 w/Min Grade C,
ANSC,608,null,
ANSC,618,null,
ANSC,627,null,
ANSC,629,null,
ANSC,667,null,
ANSC,684,null,
ANSC,689,null,
ANSC,689,null,
ANSC,697,null,
ANTH,201,null,
ANTH,202,null,
ANTH,204,null,
ANTH,205,null,
ANTH,210,null,
ANTH,222,null,
ANTH,225,null,
ANTH,226,null,
ANTH,300,null,
ANTH,313,null,
ANTH,316,null,
ANTH,317,null,
ANTH,324,null,
ANTH,402,null,
ANTH,409,null,
ANTH,410, ANTH 210 w/Min Grade D or ANTH 205 w/Min Grade D,
ANTH,415,null,
ANTH,417,null,
ANTH,420,null,
ANTH,421, MUST 221 w/Min Grade C or ARCH 221 w/Min Grade C or MAST 220 w/Min Grade C,
ANTH,425, ( ANTH 225 w/Min Grade D and ANTH 226 w/Min Grade D ) or VIBS 305 w/Min Grade D,
ANTH,435,null,
ANTH,436,null,
ANTH,447, ANTH 202 w/Min Grade D,
ANTH,448, STAT 302 w/Min Grade C or STAT 303 w/Min Grade C,
ANTH,464,null,
ANTH,484,null,
ANTH,489,null,
ANTH,603,null,
ANTH,604,null,
ANTH,608,null,
ANTH,616,null,
ANTH,663,null,
ANTH,680,null,
ARAB,201, ARAB 102 w/Min Grade D or ARAB 104 w/Min Grade D,
ARAB,202, ARAB 201 w/Min Grade D,
ARAB,258,null,
ARAB,323, ARAB 202 w/Min Grade D or ARAB 204 w/Min Grade D,
ARCH,105, ARCH 115 w/Min Grade C (concurrency) or ENDS 115 w/Min Grade C (concurrency),
ARCH,108, ( ARCH 105 w/Min Grade C or ENDS 105 w/Min Grade C ) and ( ARCH 115 w/Min Grade C or ENDS 115 w/Min Grade C ),
ARCH,115, ARCH 105 w/Min Grade C (concurrency) or ENDS 105 w/Min Grade C (concurrency),
ARCH,206, ARCH 205 w/Min Grade D and ( ENDS 105 w/Min Grade D or ARCH 105 w/Min Grade D or ENDS 108 w/Min Grade D or ARCH 108 w/Min Grade D or ENDS 115 w/Min Grade D or ARCH 115 w/Min Grade D ),
ARCH,212,null,
ARCH,213,null,
ARCH,216,null,
ARCH,221,null,
ARCH,249,null,
ARCH,249,null,
ARCH,250,null,
ARCH,250,null,
ARCH,281,null,
ARCH,305, ARCH 249 w/Min Grade D and ARCH 250 w/Min Grade D,
ARCH,317, ( ARCH 216 w/Min Grade D ),
ARCH,328,null,
ARCH,331, MATH 142 w/Min Grade D and PHYS 201 w/Min Grade D,
ARCH,335, PHYS 201 w/Min Grade D,
ARCH,345,null,
ARCH,346,null,
ARCH,347,null,
ARCH,350,null,
ARCH,350,null,
ARCH,353,null,
ARCH,381,null,
ARCH,406, ( ARCH 305 w/Min Grade D and ARCH 331 w/Min Grade D and ARCH 335 w/Min Grade D and ARCH 405 w/Min Grade D ) and CARC 301 w/Min Grade D or ARCH 494 w/Min Grade D,
ARCH,413,null,
ARCH,421,null,
ARCH,458,null,
ARCH,458,null,
ARCH,602,null,
ARCH,606,null,
ARCH,608,null,
ARCH,614,null,
ARCH,615,null,
ARCH,619,null,
ARCH,621,null,
ARCH,634,null,
ARCH,643,null,
ARCH,644,null,
ARCH,645,null,
ARCH,646,null,
ARCH,659,null,
ARCH,660,null,
ARCH,669,null,
ARCH,674,null,
ARCH,675,null,
ARCH,689,null,
AREN,200,null,
AREN,210,null,
AREN,289,null,
AREN,300, AREN 200 w/Min Grade C,
AREN,330, MEEN 315 w/Min Grade C,
AREN,399,null,
AREN,401, AREN 300 w/Min Grade C and AREN 330 w/Min Grade C and CVEN 345 w/Min Grade C,
AREN,402, AREN 401 w/Min Grade C,
AREN,440, AREN 300 w/Min Grade C and AREN 330 w/Min Grade C,
AREN,489,null,
ARSC,105,null,
ARSC,201,null,
ARSC,301,null,
ARSC,392,null,
ARTS,102,null,
ARTS,103,null,
ARTS,104,null,
ARTS,111,null,
ARTS,149,null,
ARTS,149,null,
ARTS,150,null,
ARTS,150,null,
ARTS,210,null,
ARTS,212, ARTS 111 w/Min Grade C or ARTS 115 w/Min Grade C,
ARTS,303, ARTS 104 w/Min Grade C or VIST 105 w/Min Grade C,
ARTS,304, ARTS 303 w/Min Grade C,
ARTS,312, ARTS 210 w/Min Grade C or VIST 310 w/Min Grade C or ARTS 311 w/Min Grade C,
ARTS,325, ARTS 111 w/Min Grade C or ARTS 115 w/Min Grade C,
ARTS,328, ARTS 305 w/Min Grade C,
ARTS,339,null,
ARTS,345, ARTS 149 w/Min Grade D or ARTS 150 w/Min Grade D or ARTS 349 w/Min Grade D or ARCH 249 w/Min Grade D or ARCH 250 w/Min Grade D or ARCH 350 w/Min Grade D,
ARTS,349,null,
ARTS,349,null,
ARTS,353,null,
ARTS,403, ( ARTS 303 w/Min Grade C or ARTS 203 w/Min Grade C ) and ARTS 304 w/Min Grade C,
ASCC,001,null,
ASCC,002,null,
ASCC,003,null,
ASCC,004,null,
ASCC,101,null,
ASIA,229,null,
ASIA,350,null,
ASIA,358,null,
ASTR,101,null,
ASTR,102,null,
ASTR,104,null,
ASTR,109,null,
ASTR,109,null,
ASTR,111,null,
ASTR,314, ( PHYS 207 w/Min Grade D or PHYS 208 w/Min Grade D ),
ASTR,403, ASTR 314 w/Min Grade D,
ASTR,420, ASTR 320 w/Min Grade C,
ASTR,604, PHYS 615 w/Min Grade D,
ASTR,689,null,
ATMO,201,null,
ATMO,202,null,
ATMO,203, ATMO 201 w/Min Grade D (concurrency),
ATMO,210,null,
ATMO,321,null,
ATMO,324, ATMO 201 w/Min Grade D and ATMO 321 w/Min Grade D (concurrency) and MATH 251 w/Min Grade D (concurrency),
ATMO,352, ATMO 251 w/Min Grade D and ( MATH 152 w/Min Grade D or MATH 172 w/Min Grade D ),
ATMO,370, ATMO 201 w/Min Grade D (concurrency),
ATMO,370, ATMO 201 w/Min Grade D (concurrency),
ATMO,435, ATMO 336 w/Min Grade D (concurrency) and MATH 308 w/Min Grade D,
ATMO,441, ATMO 324 w/Min Grade D and MATH 308 w/Min Grade D and ATMO 446 w/Min Grade D (concurrency),
ATMO,444, ATMO 210 w/Min Grade D or GEOS 210 w/Min Grade D,
ATMO,455, ( MATH 308 w/Min Grade D and ATMO 336 w/Min Grade D (concurrency) ),
ATMO,456, ATMO 435 w/Min Grade D (concurrency),
ATMO,461, ATMO 335 w/Min Grade D (concurrency) and MATH 308 w/Min Grade D (concurrency),
