course_ccode,course_cnumber,prereq_ccode,prereq_cnumber,equi_id
BMEN,201,MATH,152,1,
BMEN,207,MATH,152,1,
BMEN,207,ENGR,102,2,
BMEN,250,MATH,152,1,
BMEN,250,ENGR,102,2,
BMEN,254,BMEN,253,1,
BMEN,311,BMEN,207,1,
BMEN,321,BMEN,207,1,
BMEN,321,BMEN,250,2,
BMEN,321,STAT,312,2,
BMEN,321,MATH,308,3,
BMEN,321,PHYS,207,4,
BMEN,341,MATH,308,1,
BMEN,341,BMEN,207,2,
BMEN,341,PHYS,207,3,
BMEN,341,PHYS,208,3,
BMEN,343,MATH,308,1,
BMEN,343,BMEN,361,2,
BMEN,344,MATH,308,1,
BMEN,344,VTPP,435,2,
BMEN,351,BMEN,207,1,
BMEN,351,BMEN,250,2,
BMEN,351,STAT,312,2,
BMEN,354,BMEN,353,1,
BMEN,361,BMEN,207,1,
BMEN,361,BMEN,250,2,
BMEN,361,STAT,312,2,
BMEN,401,BMEN,321,1,
BMEN,404,BMEN,253,1,
BMEN,422,BMEN,321,1,
BMEN,454,BMEN,453,1,
BMEN,458,BMEN,207,1,
BMEN,463,BMEN,341,1,
BMEN,463,BMEN,361,2,
BMEN,471,BMEN,207,1,
BMEN,471,VTPP,434,2,
BMEN,480,BMEN,343,1,
BMEN,486,BMEN,343,1,
BMEN,487,BMEN,343,1,
BMEN,489,BMEN,343,1,
BMEN,489,VTPP,435,2,
BMEN,489,BMEN,480,2,
BUSN,203,MATH,142,1,
BUSN,203,MATH,140,1,
BUSN,208,CSCE,110,1,
BUSN,208,CSCE,120,1,
BUSN,225,BUSN,125,1,
BUSN,225,BUSN,101,1,
CARC,301,CARC,481,1,
CHEM,107,CHEM,117,1,
CHEM,107,MATH,150,2,
CHEM,117,CHEM,107,1,
CHEM,120,CHEM,119,1,
CHEM,120,CHEM,107,1,
CHEM,120,CHEM,117,2,
CHEM,120,CHEM,101,2,
CHEM,120,CHEM,111,3,
CHEM,222,CHEM,101,1,
CHEM,222,CHEM,119,1,
CHEM,222,CHEM,107,1,
CHEM,227,CHEM,102,1,
CHEM,227,CHEM,120,1,
CHEM,228,CHEM,227,1,
CHEM,234,CHEM,228,1,
CHEM,234,CHEM,231,2,
CHEM,234,CHEM,237,2,
CHEM,234,CHEM,257,2,
CHEM,237,CHEM,102,1,
CHEM,237,CHEM,112,2,
CHEM,237,CHEM,120,2,
CHEM,237,CHEM,227,3,
CHEM,242,CHEM,222,1,
CHEM,257,CHEM,102,1,
CHEM,257,CHEM,120,1,
CHEM,258,CHEM,257,1,
CHEM,258,CHEM,227,1,
CHEM,258,CHEM,237,2,
CHEM,315,CHEM,102,1,
CHEM,315,CHEM,120,1,
CHEM,318,CHEM,112,1,
CHEM,318,CHEM,120,1,
CHEM,318,CHEM,315,2,
CHEM,318,CHEM,316,2,
CHEM,322,CHEM,102,1,
CHEM,322,CHEM,120,1,
CHEM,322,CHEN,205,2,
CHEM,322,CHEN,354,3,
CHEM,322,MATH,152,4,
CHEM,322,MATH,172,4,
CHEM,325,CHEM,327,1,
CHEM,326,CHEM,328,1,
CHEM,327,MATH,152,1,
CHEM,327,MATH,172,1,
CHEM,327,PHYS,208,2,
CHEM,327,PHYS,207,2,
CHEM,327,PHYS,218,3,
CHEM,327,PHYS,206,3,
CHEM,328,CHEM,327,1,
CHEM,362,CHEM,102,1,
CHEM,362,CHEM,120,1,
CHEM,415,CHEM,315,1,
CHEM,433,CHEM,362,1,
CHEM,434,CHEM,318,1,
CHEM,434,CHEM,415,2,
CHEM,446,CHEM,228,1,
CHEM,446,CHEM,258,1,
CHEM,483,CHEM,228,1,
CHEM,483,CHEM,258,1,
CHEN,201,ENGR,102,1,
CHEN,201,MATH,151,2,
CHEN,204,CHEM,120,1,
CHEN,204,ENGR,102,2,
CHEN,204,MATH,152,3,
CHEN,204,PHYS,206,4,
CHEN,204,CHEN,201,5,
CHEN,204,ENGR,216,6,
CHEN,204,PHYS,216,6,
CHEN,205,CHEN,201,1,
CHEN,205,CHEN,204,2,
CHEN,304,CHEN,204,1,
CHEN,304,MATH,308,2,
CHEN,304,CHEN,205,3,
CHEN,320,CHEN,205,1,
CHEN,320,MATH,308,2,
CHEN,322,CHEN,204,1,
CHEN,322,CHEN,205,2,
CHEN,322,MATH,251,3,
CHEN,323,CHEN,205,1,
CHEN,323,CHEN,304,2,
CHEN,324,CHEN,323,1,
CHEN,324,CHEN,354,2,
CHEN,354,CHEN,205,1,
CHEN,354,MATH,308,2,
CHEN,364,CHEN,320,1,
CHEN,364,CHEN,323,2,
CHEN,364,CHEN,324,3,
CHEN,374,CHEN,304,1,
CHEN,374,CHEN,354,2,
CHEN,425,CHEN,320,1,
CHEN,425,CHEN,323,2,
CHEN,425,CHEN,354,3,
CHEN,425,CHEN,324,4,
CHEN,425,CHEN,424,4,
CHEN,426,CHEN,322,1,
CHEN,426,CHEN,364,2,
CHEN,426,CHEN,374,3,
CHEN,426,CHEN,425,4,
CHEN,432,CHEN,323,1,
CHEN,432,ENGL,210,2,
CHEN,433,CHEN,324,1,
CHEN,433,CHEN,364,2,
CHEN,433,CHEN,432,3,
CHEN,433,CHEN,461,4,
CHEN,455,CHEN,322,1,
